Data,Máxima,Mínima,Previsão
2021.12.06 01:15:00,1.13079,1.12999,1.1304002
2021.12.06 01:30:00,1.13079,1.12984,1.1304568
2021.12.06 01:45:00,1.13071,1.12937,1.1305815
2021.12.06 02:00:00,1.13035,1.12904,1.1304432
2021.12.06 02:15:00,1.13035,1.12876,1.1301266
2021.12.06 02:30:00,1.12998,1.12876,1.1300226
2021.12.06 02:45:00,1.12952,1.12876,1.1296425
2021.12.06 03:00:00,1.12947,1.12876,1.1293137
2021.12.06 03:15:00,1.12958,1.12876,1.128981
2021.12.06 03:30:00,1.12958,1.1288,1.1289568
2021.12.06 03:45:00,1.12958,1.12908,1.1290702
2021.12.06 04:00:00,1.12958,1.12903,1.1292576
2021.12.06 04:15:00,1.12949,1.12896,1.1293538
2021.12.06 04:30:00,1.12949,1.1288,1.1292835
2021.12.06 04:45:00,1.12935,1.12878,1.1293124
2021.12.06 05:00:00,1.12925,1.12878,1.1291473
2021.12.06 05:15:00,1.12925,1.12878,1.1290505
2021.12.06 05:30:00,1.12926,1.12878,1.128888
2021.12.06 05:45:00,1.12926,1.12887,1.1289461
2021.12.06 06:00:00,1.12926,1.12868,1.1290867
2021.12.06 06:15:00,1.12926,1.1285,1.1291475
2021.12.06 06:30:00,1.12921,1.1285,1.1290847
2021.12.06 06:45:00,1.12901,1.12844,1.1290169
2021.12.06 07:00:00,1.1288,1.12809,1.1287992
2021.12.06 07:15:00,1.1288,1.12804,1.1286563
2021.12.06 07:30:00,1.12871,1.12804,1.1286126
2021.12.06 07:45:00,1.12863,1.12801,1.1285211
2021.12.06 08:00:00,1.12857,1.12793,1.1282872
2021.12.06 08:15:00,1.12851,1.12774,1.1283458
2021.12.06 08:30:00,1.1285,1.12774,1.1282983
2021.12.06 08:45:00,1.12877,1.12774,1.128327
2021.12.06 09:00:00,1.12877,1.12741,1.1281253
2021.12.06 09:15:00,1.1288,1.12739,1.128091
2021.12.06 09:30:00,1.12897,1.12739,1.1281579
2021.12.06 09:45:00,1.12897,1.12739,1.1282521
2021.12.06 10:00:00,1.12926,1.12739,1.1277184
2021.12.06 10:15:00,1.12927,1.12814,1.1282406
2021.12.06 10:30:00,1.12933,1.12841,1.1286218
2021.12.06 10:45:00,1.12937,1.12844,1.1286709
2021.12.06 11:00:00,1.12991,1.12844,1.128964
2021.12.06 11:15:00,1.13044,1.12889,1.1289779
2021.12.06 11:30:00,1.13095,1.12889,1.1291567
2021.12.06 11:45:00,1.13095,1.12918,1.129138
2021.12.06 12:00:00,1.13095,1.12954,1.1295054
2021.12.06 12:15:00,1.13095,1.12954,1.130016
2021.12.06 12:30:00,1.13085,1.12954,1.1305076
2021.12.06 12:45:00,1.13024,1.12929,1.1300796
2021.12.06 13:00:00,1.13024,1.12912,1.129835
2021.12.06 13:15:00,1.13024,1.129,1.1299415
2021.12.06 13:30:00,1.13014,1.12899,1.1298668
2021.12.06 13:45:00,1.13014,1.12899,1.1295755
2021.12.06 14:00:00,1.13014,1.12895,1.1293274
2021.12.06 14:15:00,1.13014,1.12854,1.1293712
2021.12.06 14:30:00,1.13004,1.12849,1.1296918
2021.12.06 14:45:00,1.12992,1.12843,1.1297241
2021.12.06 15:00:00,1.12973,1.12843,1.1293539
2021.12.06 15:15:00,1.1307,1.12843,1.1288302
2021.12.06 15:30:00,1.1307,1.12843,1.1287853
2021.12.06 15:45:00,1.1307,1.12824,1.1291794
2021.12.06 16:00:00,1.1307,1.12824,1.1294957
2021.12.06 16:15:00,1.12986,1.12824,1.1299055
2021.12.06 16:30:00,1.12937,1.12824,1.1295028
2021.12.06 16:45:00,1.12937,1.12782,1.1288759
2021.12.06 17:00:00,1.12904,1.12656,1.1288829
2021.12.06 17:15:00,1.129,1.12656,1.1287566
2021.12.06 17:30:00,1.12882,1.12656,1.1287779
2021.12.06 17:45:00,1.1287,1.12656,1.1282516
2021.12.06 18:00:00,1.12875,1.12689,1.127383
2021.12.06 18:15:00,1.12875,1.12734,1.1273471
2021.12.06 18:30:00,1.12875,1.12753,1.1276103
2021.12.06 18:45:00,1.12875,1.12753,1.1282504
2021.12.06 19:00:00,1.12831,1.12753,1.1282269
2021.12.06 19:15:00,1.1282,1.12749,1.128075
2021.12.06 19:30:00,1.1282,1.12719,1.1278193
2021.12.06 19:45:00,1.1282,1.12719,1.1279331
2021.12.06 20:00:00,1.12822,1.12719,1.127869
2021.12.06 20:15:00,1.12828,1.12719,1.1276829
2021.12.06 20:30:00,1.12832,1.12756,1.1276554
2021.12.06 20:45:00,1.12832,1.1278,1.1277459
